{'item_0': [2.0, 256.0, 25.0, 35.0], 'item_1': [50.0, 70.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.012216329574584961'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 10.150ms
Self CUDA time total: 10.269ms

{'item_0': [1.0, 256.0, 34.0, 25.0], 'item_1': [68.0, 50.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.004423379898071289'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        21.48%     793.000us        21.48%     793.000us     396.500us     768.000us        21.27%     768.000us     384.000us           0 b           0 b           0 b           0 b             2  
                                             aten::add_        17.20%     635.000us        17.20%     635.000us     635.000us     617.000us        17.09%     617.000us     617.000us           0 b           0 b           0 b           0 b             1  
                               aten::upsample_nearest2d         6.83%     252.000us         6.83%     252.000us     252.000us     409.000us        11.33%     409.000us     409.000us           0 b           0 b       3.32 Mb       3.32 Mb             1  
                                         aten::_to_copy         8.21%     303.000us        32.85%       1.213ms     606.500us     328.000us         9.08%       1.190ms     595.000us       2.49 Mb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: ToCopyBackward0...         7.58%     280.000us        49.08%       1.812ms     906.000us     260.000us         7.20%       1.773ms     886.500us       1.66 Mb    -850.00 Kb    -850.00 Kb    -850.00 Kb             2  
                        torch::autograd::AccumulateGrad         5.66%     209.000us        22.86%     844.000us     844.000us     215.000us         5.95%     832.000us     832.000us           0 b           0 b           0 b           0 b             1  
                                        ToCopyBackward0         4.66%     172.000us        41.50%       1.532ms     766.000us     175.000us         4.85%       1.513ms     756.500us       2.49 Mb           0 b           0 b           0 b             2  
                                               aten::to         3.98%     147.000us        36.84%       1.360ms     680.000us     148.000us         4.10%       1.338ms     669.000us       2.49 Mb           0 b           0 b           0 b             2  
                      aten::upsample_nearest2d_backward         3.82%     141.000us         3.82%     141.000us     141.000us     142.000us         3.93%     142.000us     142.000us           0 b           0 b     850.00 Kb     850.00 Kb             1  
                                    aten::empty_strided         4.47%     165.000us         4.47%     165.000us      55.000us      99.000us         2.74%      99.000us      33.000us       2.49 Mb       2.49 Mb       3.40 Mb       3.40 Mb             3  
                                            aten::fill_         2.17%      80.000us         2.17%      80.000us      80.000us      96.000us         2.66%      96.000us      96.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         2.71%     100.000us        25.57%     944.000us     944.000us      95.000us         2.63%     927.000us     927.000us      -1.66 Mb      -1.66 Mb           0 b           0 b             1  
                                        aten::ones_like         3.60%     133.000us         9.72%     359.000us     359.000us      78.000us         2.16%     200.000us     200.000us           0 b           0 b       3.40 Mb           0 b             1  
